"地域（2020年基準） コード","地域（2020年基準）","時間軸（年・月） コード","時間軸（年・月）","2020年基準品目 コード","2020年基準品目","/表章項目","指数","前月比・前年比・前年度比【%】","前年同月比【%】"
"13A01","東京都区部","2025001212","2025年12月","0001","0001 総合","","112","-0.2","2.0"
"13A01","東京都区部","2025001212","2025年12月","0002","0002 食料","","127.2","-0.1","4.5"
"13A01","東京都区部","2025001212","2025年12月","0054","0054 光熱・水道","","116.7","-0.2","-2.4"
"13A01","東京都区部","2025000606","2025年6月","0001","0001 総合","","110.8","-0.2","3.1"
"13A01","東京都区部","2025000606","2025年6月","0002","0002 食料","","123.5","0.3","6.3"
"13A01","東京都区部","2025000606","2025年6月","0054","0054 光熱・水道","","116.1","-4.2","-0.7"
"13A01","東京都区部","2024001212","2024年12月","0001","0001 総合","","109.8","0.5","3.1"
"13A01","東京都区部","2024001212","2024年12月","0002","0002 食料","","121.7","0.8","6.2"
"13A01","東京都区部","2024001212","2024年12月","0054","0054 光熱・水道","","119.6","4.7","11.9"
"13A01","東京都区部","2024000606","2024年6月","0001","0001 総合","","107.5","0.1","2.3"
"13A01","東京都区部","2024000606","2024年6月","0002","0002 食料","","116.2","-0.2","3.8"
"13A01","東京都区部","2024000606","2024年6月","0054","0054 光熱・水道","","116.9","3.2","6.2"
"13A01","東京都区部","2023001212","2023年12月","0001","0001 総合","","106.5","0.0","2.4"
"13A01","東京都区部","2023001212","2023年12月","0002","0002 食料","","114.6","-0.4","6.5"
"13A01","東京都区部","2023001212","2023年12月","0054","0054 光熱・水道","","107","-0.3","-17.2"
"13A01","東京都区部","2023000606","2023年6月","0001","0001 総合","","105.1","0.0","3.2"
"13A01","東京都区部","2023000606","2023年6月","0002","0002 食料","","111.9","0.0","8.0"
"13A01","東京都区部","2023000606","2023年6月","0054","0054 光熱・水道","","110.1","1.8","-6.1"
"13A01","東京都区部","2022001212","2022年12月","0001","0001 総合","","104","0.2","3.9"
"13A01","東京都区部","2022001212","2022年12月","0002","0002 食料","","107.5","0.0","7.0"
"13A01","東京都区部","2022001212","2022年12月","0054","0054 光熱・水道","","129.2","2.1","22.5"
"13A01","東京都区部","2022000606","2022年6月","0001","0001 総合","","101.8","0.0","2.3"
"13A01","東京都区部","2022000606","2022年6月","0002","0002 食料","","103.6","0.1","3.9"
"13A01","東京都区部","2022000606","2022年6月","0054","0054 光熱・水道","","117.2","0.5","17.5"
